member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,baseline_parameter_depletion_cfs,baseline_parameter_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_depletion_error_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
gen=50_member=8584_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.776259200000005,36.77633515260383,115.38886435260385,4.09976,4.335889615991381,4.264110384008618,4.0997561143955386,4.500243885604461,0.2361335015958428,-0.2361335015958428,0.2361335015958428,0.2361335015958428,0.2361335015958428
gen=50_member=8572_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.3808628,35.38077037906462,113.9932995790646,3.38958,3.60661257667359,4.99338742332641,3.389579700812769,5.210420299187231,0.21703287586082087,-0.21703287586082087,0.21703287586082087,0.21703287586082087,0.21703287586082087
gen=50_member=8550_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.4354488,35.43550778076299,114.048036980763,3.41089,3.628790887581745,4.971209112418254,3.4108893975704637,5.189110602429537,0.21790149001128123,-0.21790149001128256,0.21790149001128123,0.21790149001128256,0.21790149001128256
gen=50_member=8507_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,29.1130532,29.113125122660595,107.7256543226606,1.64928,1.7855647131314891,6.814435286868511,1.6492785593130492,6.950721440686951,0.1362861538184399,-0.1362861538184399,0.1362861538184399,0.1362861538184399,0.1362861538184399
gen=50_member=8467_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.4317308,28.43175005450413,107.04427925450412,1.56923,1.7010126860543329,6.898987313945667,1.5692285694059316,7.0307714305940685,0.13178411664840128,-0.13178411664840173,0.13178411664840128,0.13178411664840173,0.13178411664840173
gen=50_member=8487_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.5025116,35.50262187067714,114.11515107067714,3.45215,3.67043855987115,4.9295614401288494,3.452149122351013,5.147850877648986,0.2182894375201374,-0.21828943752013696,0.2182894375201374,0.21828943752013696,0.21828943752013696
152,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,39.0853584,39.0854414587126,117.6979706587126,4.78258,4.782582221327709,3.817417778672291,4.782582221327709,3.817417778672291,0.0,0.0,0.0,0.0,0.0
gen=36_member=6021_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,15.73043752,15.730428646974955,94.34295784697495,0.811083,0.8110833649714815,7.788916635028518,0.8110833649714815,7.788916635028518,0.0,0.0,0.0,0.0,0.0
16,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,38.467534,38.46752870631738,117.08005790631736,4.48927,4.489273592740293,4.1107264072597065,4.489273592740293,4.1107264072597065,0.0,0.0,0.0,0.0,0.0
130,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,38.6001,38.60014577795708,117.21267497795708,4.69071,4.690710603433739,3.909289396566261,4.690710603433739,3.909289396566261,0.0,0.0,0.0,0.0,0.0
95,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,38.900657200000005,38.90068138512153,117.51321058512151,4.70127,4.701268362481829,3.8987316375181695,4.701268362481829,3.8987316375181695,0.0,0.0,0.0,0.0,0.0
156,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.6137644,37.61379239712806,116.22632159712806,4.4265,4.42649581404381,4.173504185956189,4.42649581404381,4.173504185956189,0.0,0.0,0.0,0.0,0.0
gen=47_member=7948_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,28.5299856,28.52993245450245,107.14246165450244,1.5703,1.5702986372987264,7.029701362701273,1.5702986372987264,7.029701362701273,0.0,0.0,0.0,0.0,0.0
gen=48_member=8161_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,24.5082228,24.508282368015493,103.1208115680155,1.17026,1.1702608914176431,7.429739108582357,1.1702608914176431,7.429739108582357,0.0,0.0,0.0,0.0,0.0
gen=33_member=5661_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.8916696,36.89173247767671,115.50426167767672,4.21575,4.215754201843512,4.384245798156488,4.215754201843512,4.384245798156488,0.0,0.0,0.0,0.0,0.0
gen=47_member=7921_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.0291372,37.029124549782175,115.6416537497822,4.27101,4.271007614577858,4.328992385422142,4.271007614577858,4.328992385422142,0.0,0.0,0.0,0.0,0.0
gen=40_member=6722_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.6556098007990303,6.944390199200969,1.6556098007990303,6.944390199200969,0.0,0.0,0.0,0.0,0.0
gen=48_member=8113_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.232401729996877,4.367598270003123,4.232401729996877,4.367598270003123,0.0,0.0,0.0,0.0,0.0
gen=48_member=8218_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.033988191639938,4.566011808360062,4.033988191639938,4.566011808360062,0.0,0.0,0.0,0.0,0.0
gen=42_member=7058_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,17.825114,17.82511697626178,96.4376461762618,0.864582,0.8645822572117029,7.735417742788297,0.8645822572117029,7.735417742788297,0.0,0.0,0.0,0.0,0.0
gen=48_member=8245_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.87897,36.87888641911074,115.49141561911075,4.17121,4.1712068907145685,4.428793109285431,4.1712068907145685,4.428793109285431,0.0,0.0,0.0,0.0,0.0
gen=41_member=6922_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,32.1159516,32.11592080418332,110.72845000418332,2.24821,2.248210831838707,6.351789168161293,2.248210831838707,6.351789168161293,0.0,0.0,0.0,0.0,0.0
gen=41_member=6885_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.8285654379401006,7.771434562059899,0.8285654379401006,7.771434562059899,0.0,0.0,0.0,0.0,0.0
gen=37_member=6262_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.2424981099154595,7.35750189008454,1.2424981099154595,7.35750189008454,0.0,0.0,0.0,0.0,0.0
gen=39_member=6554_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,22.91498,22.91493475179726,101.52746395179726,1.07599,1.0759853155948564,7.524014684405143,1.0759853155948564,7.524014684405143,0.0,0.0,0.0,0.0,0.0
gen=44_member=7409_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.0261612,29.02617500954204,107.638704209542,1.61819,1.6181922753542444,6.981807724645755,1.6181922753542444,6.981807724645755,0.0,0.0,0.0,0.0,0.0
gen=33_member=5597_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,20.425457360000003,20.42544700516081,99.03797620516082,0.993719,0.9937193119614058,7.606280688038594,0.9937193119614058,7.606280688038594,0.0,0.0,0.0,0.0,0.0
gen=35_member=5926_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,28.7585784,28.75848621927199,107.371015419272,1.60584,1.6058441235180438,6.994155876481956,1.6058441235180438,6.994155876481956,0.0,0.0,0.0,0.0,0.0
gen=42_member=7147_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.785394,36.78548226240043,115.39801146240043,4.12536,4.125357521076862,4.474642478923138,4.125357521076862,4.474642478923138,0.0,0.0,0.0,0.0,0.0
gen=47_member=7992_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.3031812,37.30318347661641,115.91571267661642,4.41535,4.415352874721832,4.184647125278167,4.415352874721832,4.184647125278167,0.0,0.0,0.0,0.0,0.0
gen=44_member=7479_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.72709,29.726992928553692,108.3395221285537,1.7727,1.7727044994457113,6.827295500554288,1.7727044994457113,6.827295500554288,0.0,0.0,0.0,0.0,0.0
gen=46_member=7840_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,27.8384144,27.838357196260656,106.45088639626066,1.46259,1.4625932530033692,7.13740674699663,1.4625932530033692,7.13740674699663,0.0,0.0,0.0,0.0,0.0
gen=36_member=6076_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.071692,37.07165394641189,115.6841831464119,4.31441,4.314408249931125,4.285591750068875,4.314408249931125,4.285591750068875,0.0,0.0,0.0,0.0,0.0
gen=39_member=6576_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,24.5768452,24.57679423226629,103.18932343226628,1.21064,1.2106413178735036,7.389358682126496,1.2106413178735036,7.389358682126496,0.0,0.0,0.0,0.0,0.0
gen=46_member=7833_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,30.2738412,30.273822445456965,108.88635164545695,1.83739,1.837394816219615,6.762605183780384,1.837394816219615,6.762605183780384,0.0,0.0,0.0,0.0,0.0
gen=36_member=6039_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,34.2367848,34.236759922666806,112.84928912266682,2.88658,2.8865790925389523,5.713420907461048,2.8865790925389523,5.713420907461048,0.0,0.0,0.0,0.0,0.0
gen=45_member=7630_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,20.27341864,20.273425248681576,98.88595444868156,0.964314,0.9643142048409978,7.635685795159002,0.9643142048409978,7.635685795159002,0.0,0.0,0.0,0.0,0.0
gen=41_member=7002_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,31.456018,31.456010064777686,110.0685392647777,2.09323,2.0932333142827297,6.50676668571727,2.0932333142827297,6.50676668571727,0.0,0.0,0.0,0.0,0.0
gen=44_member=7416_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,22.539562,22.53949283051267,101.15202203051268,1.03735,1.0373456001592622,7.562654399840738,1.0373456001592622,7.562654399840738,0.0,0.0,0.0,0.0,0.0
gen=48_member=8130_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,30.2965668,30.29664546331896,108.90917466331896,1.8663,1.8663016796690663,6.733698320330934,1.8663016796690663,6.733698320330934,0.0,0.0,0.0,0.0,0.0
gen=42_member=7150_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,23.0183592,23.018345966531463,101.63087516653144,1.08725,1.087248915729321,7.512751084270679,1.087248915729321,7.512751084270679,0.0,0.0,0.0,0.0,0.0
gen=46_member=7861_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.5779672,36.57795625745423,115.19048545745424,4.0076,4.007601081757205,4.592398918242795,4.007601081757205,4.592398918242795,0.0,0.0,0.0,0.0,0.0
gen=47_member=8013_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,24.1898416,24.18988587830649,102.80241507830648,1.14776,1.147762321088277,7.452237678911723,1.147762321088277,7.452237678911723,0.0,0.0,0.0,0.0,0.0
gen=34_member=5833_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.293456493397734,4.3065435066022655,4.293456493397734,4.3065435066022655,0.0,0.0,0.0,0.0,0.0
gen=29_member=4835_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.024985639976596,6.575014360023404,2.024985639976596,6.575014360023404,0.0,0.0,0.0,0.0,0.0
gen=43_member=7309_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,28.36244,28.362383210764136,106.97491241076412,1.53641,1.5364104025504484,7.063589597449552,1.5364104025504484,7.063589597449552,0.0,0.0,0.0,0.0,0.0
gen=42_member=7162_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,34.2657488,34.265693983561704,112.87822318356172,2.92099,2.9209899539452198,5.67901004605478,2.9209899539452198,5.67901004605478,0.0,0.0,0.0,0.0,0.0
gen=43_member=7394_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.7409232462479096,6.85907675375209,1.7409232462479096,6.85907675375209,0.0,0.0,0.0,0.0,0.0
gen=47_member=7994_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,27.7078536,27.707961235794844,106.32049043579484,1.42551,1.4255099966871652,7.174490003312835,1.4255099966871652,7.174490003312835,0.0,0.0,0.0,0.0,0.0
gen=48_member=8212_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.266398238769936,7.333601761230064,1.266398238769936,7.333601761230064,0.0,0.0,0.0,0.0,0.0
gen=34_member=5718_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,19.21797048,19.217975104740983,97.83050430474096,0.92753,0.9275296888087196,7.672470311191279,0.9275296888087196,7.672470311191279,0.0,0.0,0.0,0.0,0.0
gen=40_member=6749_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,32.0337384,32.03382245921868,110.64635165921868,2.22633,2.226329000439628,6.373670999560371,2.226329000439628,6.373670999560371,0.0,0.0,0.0,0.0,0.0
gen=45_member=7712_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.206943643436204,6.393056356563795,2.206943643436204,6.393056356563795,0.0,0.0,0.0,0.0,0.0
gen=49_member=8286_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,31.8857992,31.88574680923485,110.49827600923484,2.18552,2.1855188028063663,6.414481197193633,2.1855188028063663,6.414481197193633,0.0,0.0,0.0,0.0,0.0
gen=47_member=7987_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.308223392273641,6.291776607726359,2.308223392273641,6.291776607726359,0.0,0.0,0.0,0.0,0.0
gen=42_member=7104_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.352276475860758,4.247723524139242,4.352276475860758,4.247723524139242,0.0,0.0,0.0,0.0,0.0
gen=44_member=7536_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,23.4668556,23.46684587614881,102.0793750761488,1.11985,1.119851808944549,7.48014819105545,1.119851808944549,7.48014819105545,0.0,0.0,0.0,0.0,0.0
gen=38_member=6480_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,31.4072248,31.40713306593588,110.01966226593586,2.07448,2.0744810502582167,6.525518949741783,2.0744810502582167,6.525518949741783,0.0,0.0,0.0,0.0,0.0
gen=43_member=7269_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.833296,36.83339971387087,115.44592891387086,4.14372,4.14371619026555,4.456283809734449,4.14371619026555,4.456283809734449,0.0,0.0,0.0,0.0,0.0
gen=35_member=5948_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.07392,37.07384621264411,115.68637541264413,4.33924,4.339241874247068,4.260758125752932,4.339241874247068,4.260758125752932,0.0,0.0,0.0,0.0,0.0
gen=29_member=4871_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,17.843495,17.843497187733753,96.45602638773376,0.881544,0.8815436349096046,7.718456365090395,0.8815436349096046,7.718456365090395,0.0,0.0,0.0,0.0,0.0
gen=36_member=6031_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,31.3383796,31.338390787551678,109.95091998755169,2.05415,2.054152766640796,6.545847233359204,2.054152766640796,6.545847233359204,0.0,0.0,0.0,0.0,0.0
gen=39_member=6689_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.4165068,29.416418185838467,108.02894738583844,1.67871,1.6787094998114656,6.921290500188534,1.6787094998114656,6.921290500188534,0.0,0.0,0.0,0.0,0.0
gen=46_member=7811_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,30.8479968,30.84800808580873,109.46053728580873,1.95962,1.9596188640199477,6.640381135980052,1.9596188640199477,6.640381135980052,0.0,0.0,0.0,0.0,0.0
gen=36_member=6150_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.5103056,29.51027094900253,108.12280014900254,1.71536,1.715362470532215,6.884637529467785,1.715362470532215,6.884637529467785,0.0,0.0,0.0,0.0,0.0
gen=28_member=4698_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,19.62453592,19.62453473077234,98.23706393077234,0.948853,0.9488534751048376,7.651146524895162,0.9488534751048376,7.651146524895162,0.0,0.0,0.0,0.0,0.0
gen=45_member=7580_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.692796757945654,6.907203242054345,1.692796757945654,6.907203242054345,0.0,0.0,0.0,0.0,0.0
gen=37_member=6318_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,36.3585092,36.35850397821222,114.9710331782122,3.89263,3.8926304214774334,4.707369578522565,3.8926304214774334,4.707369578522565,0.0,0.0,0.0,0.0,0.0
gen=39_member=6634_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,37.24659,37.24656995207669,115.8590991520767,4.3792,4.379201393789328,4.220798606210672,4.379201393789328,4.220798606210672,0.0,0.0,0.0,0.0,0.0
gen=46_member=7788_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,32.533256,32.533172613400616,111.1457018134006,2.35444,2.354441589637516,6.245558410362484,2.354441589637516,6.245558410362484,0.0,0.0,0.0,0.0,0.0
gen=46_member=7881_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.376534935137965,7.223465064862035,1.376534935137965,7.223465064862035,0.0,0.0,0.0,0.0,0.0
gen=27_member=4566_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,34.2026964,34.20265674649548,112.8151859464955,2.87573,2.87572560211735,5.72427439788265,2.87572560211735,5.72427439788265,0.0,0.0,0.0,0.0,0.0
gen=39_member=6698_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,33.52026,33.52015097310551,112.13268017310553,2.6497,2.6497013934446474,5.950298606555352,2.6497013934446474,5.950298606555352,0.0,0.0,0.0,0.0,0.0
gen=41_member=6986_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,35.7676436,35.767651554973604,114.3801807549736,3.58673,3.586730385344672,5.013269614655328,3.586730385344672,5.013269614655328,0.0,0.0,0.0,0.0,0.0
gen=41_member=6973_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.283884959892168,5.316115040107832,3.283884959892168,5.316115040107832,0.0,0.0,0.0,0.0,0.0
gen=27_member=4568_pso,50,baseline_storage,storage,Storage,S,1.0,0.12,0.12,,,,1.0,0.12,32.5586552,32.558684654753776,111.17121385475376,2.37042,2.370423148131909,6.2295768518680905,2.370423148131909,6.2295768518680905,0.0,0.0,0.0,0.0,0.0
