real_name,total_pumping_cfs,streamflow_cfs,depletion_cfs,scenario,source_file
gen=35_member=4445_pso,113.99261644707424,4.311821506714133,4.288178493285867,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5023_pso,94.02215182853956,7.007923735937124,1.592076264062876,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5369_pso,103.43071347261476,6.516582497133207,2.083417502866792,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5415_pso,95.9358390124614,6.897421641672942,1.7025783583270575,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=32_member=4008_pso,112.7293885176409,5.000863778738184,3.599136221261816,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6177_pso,112.84088016772186,4.921735467605175,3.6782645323948246,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5280_pso,108.90187530473762,5.988248989203903,2.611751010796097,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6204_pso,112.5374645132025,5.202859254273829,3.397140745726171,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=29_member=3689_pso,107.1990059147888,6.1529146363912,2.4470853636088,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4286_pso,105.74742127050968,6.321766007634439,2.278233992365561,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5397_pso,91.11175821540682,7.091837195237102,1.5081628047628977,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4316_pso,101.81679869710388,6.603632715565992,1.996367284434008,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5040_pso,101.78988617385316,6.613970788077556,1.986029211922444,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6267_pso,107.33871250125844,6.137900792515891,2.462099207484109,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5345_pso,113.09590961216004,4.771739836472859,3.828260163527141,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4106_pso,112.80680819659028,4.92473837107197,3.6752616289280295,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=26_member=3247_pso,110.03841057627878,5.762437476152045,2.8375625238479545,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5561_pso,111.4141695104364,5.5424775036321625,3.057522496367837,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5797_pso,112.22571964471992,5.2737608286174495,3.3262391713825505,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5070_pso,113.4290674676499,4.606125419829049,3.9938745801709503,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5518_pso,110.31763179552696,5.7344865786396575,2.8655134213603417,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5148_pso,104.47566657365776,6.438462181233332,2.161537818766668,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5227_pso,94.43811377206342,6.989659881910402,1.610340118089598,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5411_pso,110.54671078942364,5.566480976802095,3.033519023197905,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6049_pso,114.2547677142299,4.195411595560362,4.404588404439638,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5246_pso,104.74474947088204,6.409228341677955,2.1907716583220447,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6087_pso,111.37266061715052,5.231809619720156,3.368190380279844,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5319_pso,105.17737634330194,6.377857122750802,2.222142877249198,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5363_pso,113.28044443321518,4.682743636643963,3.917256363356037,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4923_pso,112.0143164121515,5.303921453055312,3.2960785469446874,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5963_pso,100.9418209369432,6.683414730860319,1.9165852691396807,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4492_pso,110.37993283158582,5.720426412914641,2.879573587085359,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5607_pso,112.08276189070952,5.324909435302435,3.2750905646975648,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4940_pso,110.91449227615335,5.469972557744371,3.1300274422556287,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6255_pso,112.81302289619993,4.957257490391468,3.642742509608531,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4208_pso,112.0008464531074,4.872168790789143,3.7278312092108568,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=28_member=3542_pso,111.81467541813338,5.0673091785982685,3.5326908214017307,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5424_pso,112.04256451493043,5.344382409284569,3.2556175907154303,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5400_pso,107.49673514176958,6.146562059123135,2.4534379408768645,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5247_pso,113.30777996908718,4.65825356882506,3.94174643117494,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5747_pso,114.5351261319263,4.158841487191023,4.441158512808976,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=25_member=3113_pso,111.41262203115596,5.211012482793231,3.388987517206768,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=25_member=3145_pso,107.09297378097148,6.159044451491969,2.440955548508031,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=26_member=3313_pso,111.52376807312052,5.147192203235681,3.4528077967643185,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5414_pso,114.02830719394758,4.22763389364829,4.37236610635171,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4245_pso,102.89043152059524,6.53953582682013,2.06046417317987,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4846_pso,112.987915369373,4.375666882288543,4.224333117711456,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4566_pso,112.97572723350277,4.382213311305444,4.217786688694556,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5675_pso,113.14233863795208,4.757509131930165,3.8424908680698335,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=47_member=6009_pso,102.68073914361857,6.566133604508236,2.033866395491764,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6133_pso,114.61135569961534,4.11461793849967,4.48538206150033,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=28_member=3581_pso,112.05023542158814,5.309889875976692,3.2901101240233075,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=29_member=3600_pso,112.1885459326598,5.277333577387598,3.3226664226124014,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=27_member=3452_pso,113.28177385603148,4.6904567044208925,3.909543295579107,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5597_pso,104.44098717251906,6.422931795049284,2.1770682049507166,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4243_pso,112.03713220647865,4.857999031429768,3.742000968570232,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5578_pso,99.47460119694844,6.750337990109145,1.8496620098908552,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4391_pso,91.12205506971196,7.089938498179063,1.5100615018209376,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5595_pso,112.13678840572572,4.797186595219573,3.8028134047804265,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4916_pso,102.17221001258788,6.617686957478289,1.9823130425217108,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4196_pso,113.97494668987436,4.321026825393895,4.278973174606104,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4314_pso,114.04358400993524,4.28089648267644,4.31910351732356,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=26_member=3203_pso,114.64461149026424,4.10667840187014,4.493321598129859,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3931_pso,114.23750144214034,4.204680894522743,4.395319105477257,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5090_pso,114.17934496296093,4.237702817974372,4.362297182025627,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4403_pso,114.4561927438005,4.216857705270214,4.383142294729786,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5726_pso,100.7818572385006,6.6868207176044905,1.9131792823955087,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4372_pso,110.89811220979904,5.585083814013728,3.014916185986271,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=25_member=3096_pso,113.79529475053974,4.523133789633414,4.076866210366585,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=30_member=3815_pso,104.7015055761388,6.421561198435813,2.1784388015641865,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4436_pso,112.71865192394148,5.001942421388812,3.598057578611188,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4365_pso,111.37599663011297,5.2294875819776765,3.370512418022323,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4449_pso,113.83013065494816,4.515002895771848,4.084997104228152,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4458_pso,110.93892674937312,5.464925688418677,3.135074311581323,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4801_pso,109.7713514237756,5.87660975340548,2.72339024659452,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5348_pso,112.11412274436556,4.80846726956077,3.791532730439229,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=32_member=4038_pso,114.46380957301176,4.213357867347219,4.3866421326527805,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4447_pso,109.72996686120332,5.879534993613467,2.720465006386533,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6057_pso,110.9091889493499,5.583012216450638,3.0169877835493617,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4977_pso,114.69073633185346,4.097962154344702,4.502037845655297,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6247_pso,113.10206329083717,4.652653733232736,3.947346266767264,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4389_pso,112.15177417792223,4.786949975884614,3.813050024115386,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5710_pso,94.39853191477026,6.99118698431181,1.6088130156881897,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5315_pso,112.81239860619172,4.957267948575572,3.642732051424428,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4515_pso,114.24036560554224,4.195805165636588,4.404194834363412,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3926_pso,113.85722090604354,4.506743563342585,4.093256436657415,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3881_pso,112.98615823233892,4.376613489514912,4.223386510485088,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5601_pso,113.08465277019168,4.655131017067491,3.9448689829325088,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4534_pso,107.50206471334008,6.144840423828214,2.455159576171785,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5062_pso,112.20170169058758,5.276141016384914,3.3238589836150862,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=29_member=3664_pso,113.42898489134156,4.606128260520027,3.9938717394799728,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4798_pso,114.24300498381808,4.195738703840105,4.404261296159895,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=30_member=3782_pso,113.8645963127076,4.506500783447163,4.0934992165528366,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6289_pso,91.6467565859264,7.0805889932680905,1.5194110067319089,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6316_pso,96.44205668275448,6.896553094951406,1.7034469050485934,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6351_pso,95.22828988491578,6.958889815250314,1.641110184749686,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6376_pso,111.37795804580438,5.3582267154612,3.2417732845388,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6317_pso,103.29746343634358,6.531547951177896,2.0684520488221034,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6298_pso,96.59686190984748,6.892094057394673,1.7079059426053262,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6285_pso,95.99134571803503,6.920915576094983,1.6790844239050169,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6341_pso,104.95873751357666,6.390629008532855,2.209370991467145,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6304_pso,112.041144774958,5.300093885401504,3.2999061145984965,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6329_pso,110.41171980119888,5.7128455501125766,2.887154449887423,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6343_pso,100.12956713826402,6.712819487887257,1.8871805121127423,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6352_pso,112.16222137966992,4.786380645894623,3.8136193541053767,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6287_pso,108.25570020952154,6.080799459647018,2.519200540352981,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6344_pso,111.54617680821993,5.138427274141554,3.4615727258584457,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6315_pso,112.78906332020608,4.958448639305944,3.641551360694056,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6294_pso,109.32952395026815,5.9627560781369136,2.637243921863086,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
gen=50_member=6323_pso,105.29079987090668,6.374841570002104,2.2251584299978955,original_T_plus_10pct,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_Tplus10per_0.0_1.0_0.01_tradeoff.csv
